,source,id,muni,year,date,severity,time,police,pedestrian,cyclist,other,lat,lng,interstate,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
1497,MassDOT,5004206,BOSTON,2021,2021-08-22,0,08:13:00,State,0,0,0,42.35774755,-71.07260427,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1498,MassDOT,5004204,BOSTON,2021,2021-08-20,0,14:25:00,State,0,0,0,42.36030923,-71.1465383,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1499,MassDOT,5004950,BOSTON,2021,2021-08-19,0,00:04:00,Local,0,0,0,42.32015957,-71.07127627,0,,
1500,MassDOT,5004946,BOSTON,2021,2021-08-15,0,17:38:00,Local,0,0,0,42.31358721,-71.08107751,0,,
1501,MassDOT,5004945,BOSTON,2021,2021-08-03,0,14:20:00,Local,0,0,0,42.31958969,-71.06618677,0,,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle)
1502,MassDOT,5004941,BOSTON,2021,2021-08-28,2,06:30:00,State,0,0,0,42.32357255,-71.11507786,0,,V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1503,MassDOT,5004929,BOSTON,2021,2021-08-27,2,13:00:00,State,0,0,0,42.34711085,-71.09226976,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic) / V4:(Collision with motor vehicle in traffic)
1504,MassDOT,5004926,BOSTON,2021,2021-09-03,0,15:05:00,State,0,0,0,42.29626714,-71.04621145,1,,V1:(Collision with motor vehicle in traffic)
1505,MassDOT,5004619,BOSTON,2021,2021-09-02,0,09:15:00,State,0,0,0,42.36000532,-71.05260186,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1506,MassDOT,5004618,BOSTON,2021,2021-08-29,0,17:30:00,State,0,0,0,42.35086687,-71.03052083,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1507,MassDOT,5004617,BOSTON,2021,2021-08-20,0,06:30:00,State,0,0,0,42.35648974,-71.11963742,1,,V1:(Collision with median barrier)
1508,MassDOT,5004616,BOSTON,2021,2021-08-19,0,14:00:00,State,0,0,0,42.34647487,-71.05857855,0,,V1:(Collision with curb)
1509,MassDOT,5004612,BOSTON,2021,2021-09-04,2,12:30:00,State,0,0,0,42.27680027,-71.1720958,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1510,MassDOT,5004611,BOSTON,2021,2021-09-04,0,10:05:00,State,0,0,0,42.2864668,-71.09352465,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1511,MassDOT,5004609,BOSTON,2021,2021-08-28,0,19:30:00,State,0,0,0,42.30024869,-71.1043889,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1512,MassDOT,5004604,BOSTON,2021,2021-09-03,0,18:39:00,State,0,0,0,42.32164029,-71.05087924,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1513,MassDOT,5004603,BOSTON,2021,2021-08-08,0,18:13:00,State,0,0,0,42.36638748,-71.06802815,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1514,MassDOT,5005279,BOSTON,2021,2021-08-19,2,13:19:00,State,0,0,0,42.3605108,-71.14661102,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1515,MassDOT,5005167,BOSTON,2021,2021-09-07,2,19:40:00,State,0,0,0,42.34843027,-71.04585132,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1516,MassDOT,5005166,BOSTON,2021,2021-09-04,2,01:15:00,State,0,0,0,42.34246019,-71.06245201,1,,V1:(Collision with motor vehicle in traffic)
1517,MassDOT,5005165,BOSTON,2021,2021-09-03,0,19:43:00,State,0,0,0,42.36000532,-71.05260186,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1518,MassDOT,5005164,BOSTON,2021,2021-09-03,0,14:30:00,State,0,0,0,42.34891742,-71.05731223,1,,V1:(Collision with motor vehicle in traffic)
1519,MassDOT,5005163,BOSTON,2021,2021-08-27,0,22:30:00,State,0,0,0,42.34757896,-71.0855027,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1520,MassDOT,5005162,BOSTON,2021,2021-08-26,2,17:20:00,State,0,0,0,42.36374339,-71.05814864,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1521,MassDOT,5005054,BOSTON,2021,2021-08-08,2,13:05:00,State,0,0,0,42.3319295,-71.1130238,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1522,MassDOT,5006166,BOSTON,2021,2021-07-24,2,16:02:00,Local,0,0,0,42.32490769,-71.09827157,0,,V1:(Collision with curb) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1523,MassDOT,5006165,BOSTON,2021,2021-05-03,2,00:34:00,Local,0,0,0,42.29757756,-71.07154018,0,,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1524,MassDOT,5006078,BOSTON,2021,2021-09-04,2,02:10:00,State,0,0,0,,,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1525,MassDOT,5006013,BOSTON,2021,2021-07-23,0,11:02:00,State,0,0,0,42.35944236,-71.07213147,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1526,MassDOT,5005433,BOSTON,2021,2021-08-29,0,16:00:00,State,0,0,0,42.34743102,-71.06602204,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1527,MassDOT,5005432,BOSTON,2021,2021-09-05,0,23:53:00,State,0,0,0,42.287627,-71.09398421,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1528,MassDOT,5006760,BOSTON,2021,2021-07-05,0,23:20:00,Local,0,0,0,42.29592245,-71.05443724,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with parked motor vehicle)
1529,MassDOT,5006701,BOSTON,2021,2021-08-12,2,08:36:00,Local,0,0,0,42.32585162,-71.08349705,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1530,MassDOT,5006694,BOSTON,2021,2021-09-03,2,12:26:00,State,0,0,0,42.34757896,-71.0855027,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1531,MassDOT,5006692,BOSTON,2021,2021-09-09,0,08:10:00,State,0,0,0,42.35174697,-71.05893015,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1532,MassDOT,5006691,BOSTON,2021,2021-09-02,0,14:30:00,State,0,0,0,42.28899069,-71.09459004,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1533,MassDOT,5006546,BOSTON,2021,2021-09-11,0,13:00:00,State,0,0,0,42.36622766,-71.06061861,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1534,MassDOT,5006545,BOSTON,2021,2021-09-10,2,23:15:00,State,0,0,0,42.36600475,-71.06506715,0,,V1:(Collision with median barrier)
1535,MassDOT,5006544,BOSTON,2021,2021-09-10,0,07:45:00,State,0,0,0,42.36794491,-71.04683108,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1536,MassDOT,5006543,BOSTON,2021,2021-09-09,0,18:15:00,State,0,0,0,42.38466106,-71.07663469,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1537,MassDOT,5006542,BOSTON,2021,2021-09-07,0,21:14:00,State,0,0,0,42.34809751,-71.05742805,1,,V1:(Collision with median barrier) / V2:(Collision with motor vehicle in traffic)
